"";"x"
"1";"agut"
"2";"aguda"
"3";"agudament"
"4";"cert"
"5";"certa"
"6";"certament"
"7";"colossal"
"8";"colossalment"
"9";"profund"
"10";"profunda"
"11";"profundament"
"12";"definitiu"
"13";"definitiva"
"14";"definitivament"
"15";"enorme"
"16";"enormement"
"17";"extrem"
"18";"extrema"
"19";"extremat"
"20";"extremada"
"21";"extremadament"
"22";"gran"
"23";"granment"
"24";"fortament"
"25";"forta"
"26";"fort"
"27";"alt"
"28";"alta"
"29";"altament"
"30";"enorme"
"31";"enormement"
"32";"immens"
"33";"immensa"
"34";"immensament"
"35";"incalculable"
"36";"incalculablement"
"37";"massiu"
"38";"massiva"
"39";"Massivament"
"40";"més"
"41";"particular"
"42";"particularment"
"43";"a propósit"
"44";"deliberadament"
"45";"molt"
"46";"real"
"47";"realment"
"48";"greu"
"49";"greument"
"50";"sever"
"51";"severa"
"52";"severament"
"53";"significatiu"
"54";"significativa"
"55";"significativament"
"56";"segur"
"57";"segura"
"58";"segurament"
"59";"de segur"
"60";"veritable"
"61";"veritablement"
"62";"vast"
"63";"vasta"
"64";"vastament"
"65";"molt"
"66";"molta"
